;year;doi;authors;title;abstract;type;source;code_0;code_1;code_2
53;2020;10.48550/arXiv.2012.04254;Lee, J., Kim, S., Park, S., Moon, S.-M.;RouTEE: A secure payment network routing hub using trusted execution environments;"Cryptocurrencies such as Bitcoin and Ethereum have made payment transactions possible without a trusted third party, but they have a scalability issue due to their consensus mechanisms. Payment networks have emerged to overcome this limitation by executing transactions outside of the blockchain, which is why these are referred to as off-chain transactions. In order to establish a payment channel between two users, the users lock their deposits in the blockchain, and then they can pay each other through the channel. Furthermore, payment networks support multi-hop payments that allow users to transfer their balances to other users who are connected to them via multiple channels. However, multi-hop payments are hard to be accomplished, as they are heavily dependent on routing users on a payment path from a sender to a receiver. Although routing hubs can make multi-hop payments more practical and efficient, they need a lot of collateral locked for a long period and have privacy issues in terms of payment history. We propose RouTEE, a secure payment routing hub that is fully feasible without the hub’s deposit. Unlike existing payment networks, RouTEE provides high balance liquidity, and details about payments are concealed from hosts by leveraging trusted execution environments (TEEs). RouTEE is designed to make rational hosts behave honestly, by introducing a new routing fee scheme and a secure settlement method. Moreover, users do not need to monitor the blockchain in real-time or run full nodes. They can participate in RouTEE by simply verifying block headers through light clients; furthermore, having only one channel with RouTEE is sufficient to interact with other users. Our implementation demonstrates that RouTEE is highly efficient and outperforms Lightning Network that is the state-of-the-art payment network.";preprint;arxiv;New Protocol;Security;LN
54;2020;10.1109/INFOCOM41043.2020.9155375;"Li P.; Miyazaki T.; Zhou W.";Secure Balance Planning of Off-blockchain Payment Channel Networks;Off-blockchain payment channels can significantly improve blockchain scalability by enabling a large number of micro-payments between two blockchain nodes, without committing every single payment to the blockchain. Multiple payment channels form a payment network, so that two nodes without direct channel connection can still make payments. A critical challenge in payment network construction is to decide how many funds should be deposited into payment channels as initial balances, which seriously influences the performance of payment networks, but has been seldom studied by existing work. In this paper, we address this challenge by designing PnP, a balance planning service for payment networks. Given estimated payment demands among nodes, PnP can decide channel balances to satisfy these demands with a high probability. It does not rely on any trusted third-parties, and can provide strong protection from malicious attacks with low overhead. It obtains these benefits with two novel designs, the cryptographic sortition and the chance-constrained balance planning algorithm. Experimental results on a testbed of 30 nodes show that PnP can enable 30% more payments than other designs. © 2020 IEEE.;conference paper;scopus;New Protocol;Security;LN
55;2020;10.1109/TrustCom50675.2020.00138;"Mazumdar S.; Banerjee P.; Ruj S.";Time is money: Countering griefing attack in lightning network;Lightning Network is the most deployed Bitcoin-compatible Payment Channel Network (PCN), ensuring faster execution of transactions. However, this Layer-two solution has its fair share of problems. Topological analysis on Lightning Network reveals that Griefing Attack is a major problem whereby an adversary intentionally exhausts the channel capacity of the network. Though the attack does not always result in a direct monetary gain of the attacker, blocking of channel capacity for several days prevents several nodes from processing any future transaction request, leading to substantial collateral damage. If the attacker is able to lock funds in multiple paths simultaneously, then a major portion of the network may get stalled, reducing the throughput. Mitigating Griefing Attack still remains an open problem. In this paper, we propose an efficient countermeasure for the attack, known as Griefing-Penalty. To realize it, we propose a new payment protocol HTLC-GP or Hashed Timelock Contract with Griefing-Penalty. It not only preserves privacy but also ensures that an attacker cannot ascribe blame on any honest party present in the path relaying the payment. We evaluate the effectiveness of griefing-penalty using different attack strategies and test it on several snapshots of Lightning Network. Our evaluation results show that loss incurred is substantially high for HTLC-GP compared to HTLC. © 2020 IEEE.;conference paper;scopus;New Protocol;Security;LN
56;2020;10.5220/0009429200070014;"Nisslmueller U.; Foerster K.-T.; Schmid S.; Decker C.";Toward Active and Passive Confidentiality Attacks on Cryptocurrency Off-chain Networks;Cryptocurrency off-chain networks such as Lightning (e.g., Bitcoin) or Raiden (e.g., Ethereum) aim to increase the scalability of traditional on-chain transactions. To support nodes to learn about possible paths to route their transactions, these networks need to provide gossip and probing mechanisms. This paper explores whether these mechanisms may be exploited to infer sensitive information about the flow of transactions, and eventually harm privacy. In particular, we identify two threats, related to an active and a passive adversary. The first is a probing attack: here the adversary aims the maximum amount which is transferable in a given direction of a target channel, by active probing. The second is a timing attack: the adversary discovers how close the destination of a routed payment actually is, by acting as a passive man-in-the middle. We then analyze the limitations of these attacks and propose remediations for scenarios in which they are able to produce accurate results. © 2022 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.;conference paper;scopus;Analysis;Security;LN
57;2020;10.1007/978-3-030-66172-4_20;"Oleas-Chávez L.E.; Pérez-Solà C.; Herrera-Joacomartí J.";On the Selection of the LN Client Implementation Parameters;The Lightning Network (LN) is a payment network deployed on top of Bitcoin. In the LN, the payer and the payee do not need to have an open direct channel to transact: they can transact through channels by means of other users of the network, that act as intermediaries for the payments. The parameters of the contracts being used in these multihop payments determine the level of security offered, but also the usefulness of the LN as a payment network. In this paper, we evaluate the impact of tuning the parameters of the contracts for the security and performance of the payment network, and provide recommendations on the values for those parameters, taking into account the trade-off between network utility and security. © 2020, Springer Nature Switzerland AG.;conference paper;scopus;Analysis;Security;LN
58;2020;10.1007/978-3-030-51280-4_14;"Pérez-Solà C.; Ranchal-Pedrosa A.; Herrera-Joancomartí J.; Navarro-Arribas G.; Garcia-Alfaro J.";LockDown: Balance Availability Attack Against Lightning Network Channels;The Lightning Network (LN) is a payment network running as a second layer on top of Bitcoin and other Blockchains. This paper presents the possibility of performing a balance lockdown in the LN due to misbehaving nodes associated to a given channel. We formalize and introduce a practical attack, minimizing the economic cost of the attack. We present results that validate our claims, and provide experimental results and potential countermeasures to handle the problem. © 2020, International Financial Cryptography Association.;conference paper;scopus;Analysis;Security;LN
59;2020;10.48550/arXiv.2006.01418;Riard, A., Naumenko, G.;Time-Dilation Attacks on the Lightning Network;Lightning Network (LN) is a widely-used network of payment channels enabling faster and cheaper Bitcoin transactions. In this paper, we outline three ways an attacker can steal funds from honest LN users. The attacks require dilating the time for victims to become aware of new blocks by eclipsing (isolating) victims from the network and delaying block delivery. While our focus is on the LN, time-dilation attacks may be relevant to any second-layer protocol that relies on a timely reaction. According to our measurements, it is currently possible to steal the total channel capacity by keeping a node eclipsed for as little as 2 hours. Since trust-minimized Bitcoin light clients currently connect to a very limited number of random nodes, running just 500 Sybil nodes allows an attacker to Eclipse 47% of newly deployed light clients (and hence prime them for an attack). As for the victims running a full node, since they are often used by large hubs or service providers, an attacker may justify the higher Eclipse attack cost by stealing all their available liquidity. In addition, time-dilation attacks neither require access to hashrate nor purchasing from a victim. Thus, this class of attacks is a more practical way of stealing funds via Eclipse attacks than previously anticipated double-spending. We argue that simple detection techniques based on the slow block arrival alone are not effective, and implementing more sophisticated detection is not trivial. We suggest that a combination of anti-Eclipse/anti-Sybil measures are crucial for mitigating time-dilation attacks.;preprint;arxiv;Analysis;Security;LN
60;2020;10.48550/arXiv.2006.12143;Rohrer, E., Tschorsch, F.;Counting down thunder: timing attacks on privacy in payment channel networks;The Lightning Network is a scaling solution for Bitcoin that promises to enable rapid and private payment processing. In Lightning, multi-hop payments are secured by utilizing Hashed Time-Locked Contracts (HTLCs) and encrypted on the network layer by an onion routing scheme to avoid information leakage to intermediate nodes. In this work, we however show that the privacy guarantees of the Lightning Network may be subverted by an on-path adversary conducting timing attacks on the HTLC state negotiation messages. To this end, we provide estimators that enable an adversary to reduce the anonymity set and infer the likeliest payment endpoints. We developed a proof-of-concept measurement node that shows the feasibility of attaining time differences and evaluate the adversarial success in model-based network simulations. We find that controlling a small number malicious nodes is sufficient to observe a large share of all payments, emphasizing the relevance of the on-path adversary model. Moreover, we show that adversaries of different magnitudes could employ timing-based attacks to deanonymize payment endpoints with high precision and recall.;preprint;arxiv;Analysis;Security;LN
61;2020;10.1145/3372297.3417263;"Thyagarajan S.A.K.; Bhat A.; Malavolta G.; Döttling N.; Kate A.; Schröder D.";Verifiable Timed Signatures Made Practical;A verifiable timed signature (VTS) scheme allows one to time-lock a signature on a known message for a given amount of time T such that after performing a sequential computation for time T anyone can extract the signature from the time-lock. Verifiability ensures that anyone can publicly check if a time-lock contains a valid signature on the message without solving it first, and that the signature can be obtained by solving the same for time T. This work formalizes VTS, presents efficient constructions compatible with BLS, Schnorr, and ECDSA signatures, and experimentally demonstrates that these constructions can be employed in practice. On a technical level, we design an efficient cut-and-choose protocol based on the homomorphic time-lock puzzles to prove the validity of a signature encapsulated in a time-lock puzzle. We also present a new efficient range proof protocol that significantly improves upon existing proposals in terms of the proof size, and is also of independent interest. While VTS is a versatile tool with numerous existing applications, we demonstrate VTS's applicability to resolve three novel challenging issues in the space of cryptocurrencies. Specifically,we show how VTS is the cryptographic cornerstone to construct:(i) Payment channel networks with improved on-chain unlinkability of users involved in a transaction, (ii) multi-party signing of transactions for cryptocurrencies without any on-chain notion oftime and (iii) cryptocurrency-enabled fair multi-party computation protocol. © 2020 ACM.;conference paper;scopus;New Protocol;Security;LN
62;2020;10.1109/EuroSPW51379.2020.00059;"Tikhomirov S.; Moreno-Sanchez P.; Maffei M.";A Quantitative Analysis of Security, Anonymity and Scalability for the Lightning Network;Payment channel networks have been introduced to mitigate the scalability issues inherent to permissionless decentralized cryptocurrencies such as Bitcoin. Launched in 2018, the Lightning Network (LN) has been gaining popularity and consists today of more than 5000 nodes and 35000 payment channels that jointly hold 965 bitcoins (9.2M USD as of June 2020). This adoption has motivated research from both academia and industryPayment channels suffer from security vulnerabilities, such as the wormhole attack [39], anonymity issues [38], and scalability limitations related to the upper bound on the number of concurrent payments per channel [28], which have been pointed out by the scientific community but never quantitatively analyzedIn this work, we first analyze the proneness of the LN to the wormhole attack and attacks against anonymity. We observe that an adversary needs to control only 2% of nodes to learn sensitive payment information (e.g., sender, receiver, and amount) or to carry out the wormhole attack. Second, we study the management of concurrent payments in the LN and quantify its negative effect on scalability. We observe that for micropayments, the forwarding capability of up to 50% of channels is restricted to a value smaller than the channel capacity. This phenomenon hinders scalability and opens the door for denial-of-service attacks: we estimate that a network-wide DoS attack costs within 1.6M USD, while isolating the biggest community costs only 238k USDOur findings should prompt the LN community to consider the issues studied in this work when educating users about path selection algorithms, as well as to adopt multi-hop payment protocols that provide stronger security, privacy and scalability guarantees. © 2020 IEEE.;conference paper;scopus;Analysis;Security;LN
63;2020;10.48550/arXiv.2004.00333;Tikhomirov, S., Pickhardt, R., Biryukov, A., Nowostawski, M.;Probing channel balances in the lightning network;Payment channel networks (PCN) have been introduced to solve scalability problem of permissionless blockchains such as Bitcoin. The Lightning Network (LN), launched in 2018, is the most prominent PCN built on top of Bitcoin. As of March 2020, LN consists of over 11 thousand nodes and 36 thousand channels, collectively holding nearly 900 bitcoins (7:8M USD). A payment channel allows two parties to lock funds in a multisignature address and then modify the distribution of funds in nearly instant transactions, without confirming them in the blockchain. As LN transactions are not broadcast and not publicly stored, LN has been seen not only as scalability but also as privacy solution. The protocol guarantees that only the latest channel state can be confirmed on channel closure. LN also supports multi-hop payments, where the balances of multiple channels along a path are moved. The atomicity of this process is guaranteed by hash time-locked contracts (HTLC). LN nodes gossip about channels available for routing and their total capacities. To issue a (multi-hop) payment, the sender creates a route based on its local knowledge of the graph. As local channel balances are not public, payments often fail due to insuficient balance at an intermediary hop. In that case, the payment is attempted along multiple routes until it succeeds. This constitutes a privacy-efficiency tradeoff: Hidden balances improve privacy but hinder routing efficiency. In this work, we show that an attacker can easily discover channel balances using probing. This takes under a minute per channel and requires moderate capital commitment and no expenditures (the attacker's funds are only temporarily locked). We describe the algorithm and test our proof-of-concept implementation on Bitcoin's testnet. We argue that LN's balance between privacy and routing efficiency is suboptimal: Channel balances are neither well protected nor utilized. We outline two ways for LN to evolve in respect to this issue. To emphasize privacy, we propose a modification of error handling that hides details of the erring channel from the sending node. This would break our probing technique but make routing failures more common, as the sender would not know which channel from the attempted route has failed. To improve efficiency, we propose a new API call that would let the sender query balances of channels that it is not a party of. We argue that combining these approaches can help LN take the best of both worlds: Hide private data when feasible, and utilize public data for higher routing efficiency.;preprint;arxiv;Analysis;Security;LN
64;2020;10.1145/3419614.3423253;"Tochner S.; Zohar A.; Schmid S.";Route Hijacking and DoS in Off-Chain Networks;Off-chain transaction networks can mitigate the scalability issues of today's trustless blockchain systems such as Bitcoin. However, these peer-to-peer networks also introduce a new attack surface which is not yet fully understood. This paper identifies and analyzes a novel type of Denial-of-Service attack which is based on attracting routes, i.e., which exploits the way transactions are routed and executed along the channels of the network in order to attract nodes to route through the attacker. This attack is conceptually interesting as it highlights a fundamental design tradeoff for the defender (who determines its own routes): to become less susceptible to hijacking, a rational node has to pay higher fees to nodes that forward its payments. We focus on the Lightning network, and we investigate both the structure of the network using real data collected over an extended period of time, and the routing algorithms of different implementations. We find that the three most common implementations (Ind, C-lightning, Eclair) approach routing differently. We then explore the routes chosen by these implementations in the current Lightning network. We find that very few nodes route most of the traffic: nearly 60% of all routes pass through only five nodes, while 80% go through only 15 nodes. Thus, a relatively small number of colluding nodes can deny service to a large fraction of the network. We then turn to study an external attacker who creates links to the network and draws more routes through its nodes by asking for lower fees. While finding the optimal set of links to create is NP-complete, we show that using a greedy attack strategy, an attacker can obtain a 1 - 1/e approximation. Given this strategy, we find that just five new links are enough to draw the majority (65% - 75%) of the traffic regardless of the implementation being used. The cost of creating these links is very low. Drawing this traffic, the attacker is then able to deny service to all those who route through it. We further show that newer routing algorithms recently introduced into lnd, to penalize routes that failed in the past and avoid selecting them again, do not effectively prevent such attacks. Finally, we suggest modified routing policies, which may help alleviate the problem.  © 2020 ACM.;conference paper;scopus;Analysis;Security;LN
65;2020;10.1007/978-3-030-54455-3_34;"Tripathy S.; Mohanty S.K.";Mappcn: Multi-hop anonymous and privacy-preserving payment channel network;Payment channel network (PCN) has become an indispensable mechanism to resolve scalability issues in blockchain-based cryptocurrencies. On the other hand, PCNs do not provide adequate security and privacy guarantee. Most of the existing payment schemes leak information about payer or payee to the nodes in the payment path. To address this issue, we propose a simple but effective, multi-hop, anonymous, and privacy-preserving PCN (MAPPCN). MAPPCN construction is based on Elliptic curve cryptography (ECC) and is proved to be secure while achieving payment path privacy, sender, and receiver anonymity. MAPPCN can be performed in $$(3 \cdot n + 5)$$ Elliptic curve scalar multiplication (ECSM) operations for an off-chain payment operation. © Springer Nature Switzerland AG 2020.;conference paper;scopus;New Protocol;Security;LN
66;2020;10.1007/978-3-030-58201-2_21;"van Dam G.; Kadir R.A.; Nohuddin P.N.E.; Zaman H.B.";Improvements of the Balance Discovery Attack on Lightning Network Payment Channels;The Lighting Network (LN) is a network of micropayment channels that runs on top of Bitcoin. The balances of payment channels are not broadcasted to the LN network to preserve the privacy of the nodes participating in the network. A balance disclosure attack (BDA) has been proven to be successful in determining the balance of large amounts of channels in the network. In this paper we propose an improved algorithm for the BDA as well as a new type of attack that leverages the differences between LN client software implementations. Our improved algorithm extends the original BDA by performing payments from both sides of the channel. The new attack uses malformed payments to shutdown payment channels an adversary is not part of. © 2020, IFIP International Federation for Information Processing.;conference paper;scopus;Modified Protocol;Security;LN
67;2020;10.48550/arXiv.2006.14358;Waugh, F., Holz, R.;An empirical study of availability and reliability properties of the Bitcoin Lightning Network;The Bitcoin Lightning network is a mechanism to enable fast and inexpensive off-chain Bitcoin transactions using peer-to-peer (P2P) channels between nodes that can also be composed into a routing path. Although the resulting possible channel graphs are well-studied, there is no empirical data on the network’s reliability in terms of being able to successfully route payments at a given moment in time. In this paper we address this gap and investigate two forms of availability that are a necessary ingredient to achieve such reliability. We first study the Lightning network’s ability to route payments of various sizes to nearly every participating node, over most available channels. We establish an inverse relationship between payment volume and success rate and show that at best only about a third of destination nodes can be successfully reached. The routing is hampered by a number of possible errors, both transient and permanent. We then study the availability of nodes in the network longitudinally and determine how long-lived they are. Churn in the network is actually low, and a considerable number of nodes are hosted on cloud providers. By testing node liveness, we find that the propagated network information is relatively often stale, however, both for IP addresses and Tor onion addresses. We provide recommendations how the Lightning network can be improved, including considerations which trade-offs between privacy and decentralization on the one hand and reliability on the other hand should at least be reconsidered by the community developing the Lightning network.;preprint;arxiv;Analysis;Security;LN
68;2021;10.48550/arXiv.2102.02659;Erdin, E., Mercan, S., Akkaya, K.;An evaluation of cryptocurrency payment channel networks and their privacy implications;Cryptocurrencies redefined how money can be stored and transferred among users. However, independent of the amount being sent, public blockchain-based cryptocurrencies suffer from high transaction waiting times and fees. These drawbacks hinder the wide use of cryptocurrencies by masses. To address these challenges, payment channel network concept is touted as the most viable solution to be used for micro-payments. The idea is exchanging the ownership of money by keeping the state of the accounts locally. The users inform the blockchain rarely, which decreases the load on the blockchain. Specifically, payment channel networks can provide transaction approvals in seconds by charging a nominal fee proportional to the payment amount. Such attraction on payment channel networks inspired many recent studies which focus on how to design them and allocate channels such that the transactions will be secure and efficient. However, as payment channel networks are emerging and reaching large number of users, privacy issues are becoming more relevant that raise concerns about exposing not only individual habits but also businesses' revenues. In this paper, we first propose a categorization of the existing payment networks formed on top of blockchain-backed cryptocurrencies. After discussing several emerging attacks on user/business privacy in these payment channel networks, we qualitatively evaluate them based on a number of privacy metrics that relate to our case. Based on the discussions on the strengths and weaknesses of the approaches, we offer possible directions for research for the future of privacy based payment channel networks.;preprint;arxiv;Analysis;Security;LN
69;2021;10.1007/978-3-662-64331-0_10;"Jourenko M.; Larangeira M.; Tanaka K.";Payment Trees: Low Collateral Payments for Payment Channel Networks;"The security of blockchain based decentralized ledgers relies on consensus protocols executed between mutually distrustful parties. Such protocols incur delays which severely limit the throughput of such ledgers. Payment and state channels enable execution of offchain protocols that allow interaction between parties without involving the consensus protocol. Protocols such as Hashed Timelock Contracts (HTLC) and Sprites (FC’19) connect channels into Payment Channel Networks (PCN) allowing payments across a path of payment channels. Such a payment requires each party to lock away funds for an amount of time. The product of funds and locktime is the collateral of the party, i.e., their cost of opportunity to forward a payment. In the case of HTLC, the locktime is linear to the length of the path, making the total collateral invested across the path quadratic in size of its length. Sprites improved on this by reducing the locktime to a constant by utilizing smart contracts. Atomic Multi-Channel Updates (AMCU), published at CCS’19, introduced constant collateral payments without smart contracts. In this work we present the Channel Closure attack on AMCU that allows a malicious adversary to make honest parties lose funds. Furthermore, we propose the Payment Trees protocol that allows payments across a PCN with linear total collateral without the aid of smart contracts; a competitive performance similar to Sprites, and yet compatible to Bitcoin. © 2021, International Financial Cryptography Association.";conference paper;scopus;New Protocol;Security;Other
70;2021;10.1007/978-3-662-64322-8_8;"Kappos G.; Yousaf H.; Piotrowska A.; Kanjalkar S.; Delgado-Segura S.; Miller A.; Meiklejohn S.";An Empirical Analysis of Privacy in the Lightning Network;Payment channel networks, and the Lightning Network in particular, seem to offer a solution to the lack of scalability and privacy offered by Bitcoin and other blockchain-based cryptocurrencies. Previous research has focused on the scalability, availability, and crypto-economics of the Lightning Network, but relatively little attention has been paid to exploring the level of privacy it achieves in practice. This paper presents a thorough analysis of the privacy offered by the Lightning Network, by presenting several attacks that exploit publicly available information about the network in order to learn information that is designed to be kept secret, such as how many coins a node has available or who the sender and recipient are in a payment routed through the network. © 2021, International Financial Cryptography Association.;conference paper;scopus;Analysis;Security;LN
71;2021;10.1109/SP40001.2021.00065;"Krishnan Thyagarajan S.A.; Malavolta G.";Lockable signatures for blockchains: Scriptless scripts for all signatures;Payment Channel Networks (PCNs) have given a huge boost to the scalability of blockchain-based cryptocurrencies: Beyond improving the transaction rate, PCNs enabled cheap cross-currency payments and atomic swaps. However, current PCNs proposals either heavily rely on special scripting features of the underlying blockchain (e.g. Hash Time Lock Contracts) or are tailored to a handful of digital signature schemes, such as Schnorr or ECDSA signatures. This leaves us in an unsatisfactory situation where many currencies that are being actively developed and use different signature schemes cannot enjoy the benefits of a PCN.In this work, we investigate whether we can construct PCNs assuming the minimal ability of a blockchain to verify a digital signature, for any signature scheme. In answering this question in the affirmative, we introduce the notion of lockable signatures, which constitutes the cornerstone of our PCN protocols. Our approach is generic and the PCN protocol is compatible with any digital signature scheme, thus inheriting all favorable properties of the underlying scheme that are not offered by Schnorr/ECDSA (e.g. aggregatable signatures or post-quantum security).While the usage of generic cryptographic machinery makes our generic protocol impractical, we view it as an important feasibility result as it may serve as the basis for constructing optimized protocols for specific signature schemes. To substantiate this claim, we design a highly efficient PCN protocol for the special case of Boneh-Lynn-Shacham (BLS) signatures. BLS signatures enjoy many unique features that make it a viable candidate for a blockchain, e.g. short, unique, and aggregatable signatures. Yet, prior to our work, no PCN was known to be compatible with it (without requiring an advanced scripting language). The cost of our PCN is dominated by a handful of calls to the BLS algorithms. Our concrete evaluation of these basic operations shows that users with commodity hardware can process payments with minimal overhead. © 2021 IEEE.;conference paper;scopus;New Protocol;Security;Other
72;2021;10.1007/978-3-662-64331-0_9;"Mizrahi A.; Zohar A.";Congestion Attacks in Payment Channel Networks;Payment channel networks provide a fast and scalable solution to relay funds, acting as a second layer to slower and less scalable blockchain protocols. In this paper, we present an accessible, low-cost attack in which the attacker paralyzes multiple payment network channels for several days. The attack is based on overloading channels with requests that are kept unresolved until their expiration time. Reaching the maximum allowed unresolved requests (HTLCs ) locks the channel for new payments. The attack is in fact inherent to the way off-chain networks are constructed, since limits on the number of unresolved payments are derived from limits on the blockchain. We consider three versions of the attack: one in which the attacker attempts to block as many high liquidity channels as possible, one in which it disconnects as many pairs of nodes as it can, and one in which it tries to isolate individual nodes from the network. We evaluate the costs of these attacks on Bitcoin’s Lightning Network and compare how changes in the network have affected the cost of attack. Specifically, we consider how recent changes to default parameters in each of the main Lightning implementations contribute to the attacks. Finally, we suggest mitigation techniques that make these attacks much harder to carry out. © 2021, International Financial Cryptography Association.;conference paper;scopus;Analysis;Security;LN
73;2021;10.1016/j.cose.2021.102291;"Mohanty S.K.; Tripathy S.";n-HTLC: Neo hashed time-Lock commitment to defend against wormhole attack in payment channel networks;In today's cryptocurrency, the Payment Channel Network (PCN) is noticed as one of the most gifted off-chain solutions for scalability issues. Besides this, it consumes lesser transaction fees and low transaction confirmation time. However, security and privacy issues need to be addressed appropriately to make the solution even more effective. Most of the existing HTLC (Hashed Time-Lock Contract) protocols revealed the sender's information to the intermediate users in the payment route. In this work, we propose an effective secure and privacy-preserving Payment Channel Network protocol, named Neo Hashed Time-Lock Commitment (n-HTLC) protocol. (n-HTLC) does not require the sender to send any information to each intermediate user along the payment route, thus preserves the identity of the sender. But, (n-HTLC) is not compatible with Sphinx onion packet format. Therefore, a symmetric key encryption-based protocol called kTLC has been proposed. kTLC is compatible with the Sphinx onion packet format, which is used in the current Lightning network atop of the Bitcoin blockchain network. The security of both n-HTLC and kTLC are proved using the Universal Composability (UC) framework. It is observed that both ensure that no attacker can extract information on the payment route if at least one of the users in the path is honest. To analyze the performance of both n-HTLC and kTLC payment protocol, we conduct experiments using the snapshots of Ripple network1, Lightning network2, and synthetic network of Mazumdar and Ruj (2020). Our experimental results show that both n-HTLC and kTLC outperform state-of-the-art off-chain payment protocols in terms of computational and communication overhead. © 2021 Elsevier Ltd;article;scopus;New Protocol;Security;LN
74;2021;10.1145/3465481.3465761;"Prabhu Kumble S.P.; Epema D.; Roos S.";How Lightning's Routing Diminishes its Anonymity;Lightning, the prevailing solution to Bitcoin's scalability issue, uses onion routing to hide senders and recipients of payments. Yet, the path between the sender and the recipient along which payments are routed is selected such that it is short, cost efficient, and fast. The low degree of randomness in the path selection entails that anonymity sets are small. However, quantifying the anonymity provided by Lightning is challenging due to the existence of multiple implementations that differ with regard to the path selection algorithm and exist in parallel within the network. In this paper, we propose a general method allowing a local internal attacker to determine sender and recipient anonymity sets. Based on an in-depth code review of three Lightning implementations, we analyze how an adversary can predict the sender and the recipient of a multi-hop transaction. Our simulations indicate that only one adversarial node on a payment path uniquely identifies at least one of sender and recipient for around 70% of the transactions observed by the adversary. Moreover, multiple colluding attackers can almost always identify sender and receiver uniquely. © 2021 Owner/Author.;conference paper;scopus;Analysis;Security;LN
75;2021;10.1109/ICBC51069.2021.9461123;"Rahimpour S.; Khabbazian M.";Hashcashed reputation with application in designing watchtowers;"We propose a novel reputation system to stimulate well-behaviour, and competition in online markets. Our reputation system is suited for markets where a publicly-verifiable ""proof-of-misbehaviour""can be generated when one party misbehaves. Such markets include those that provide blockchain services, such as monitoring services by watchtowers. Watchtowers are entities that watch the blockchain on behalf of their offline clients to protect the clients' interests in applications such as payment networks (e.g., the Lightning network).In practice, there may be no trust between clients and watchtowers, and it is challenging to incentivize watchtowers to well-behave (e.g., to refuse bribery). To showcase our reputation system, in this work, we create an open market of watchtowers, where watchtowers are motivated to not only deliver their promised service but also reduce their service fees in competition with each other.  © 2021 IEEE.";conference paper;scopus;New Protocol;Security;LN
76;2021;10.1007/978-3-662-64322-8_9;"Romiti M.; Victor F.; Moreno-Sanchez P.; Nordholt P.S.; Haslhofer B.; Maffei M.";Cross-Layer Deanonymization Methods in the Lightning Protocol;Bitcoin (BTC) pseudonyms (layer 1) can effectively be deanonymized using heuristic clustering techniques. However, while performing transactions off-chain (layer 2) in the Lightning Network (LN) seems to enhance privacy, a systematic analysis of the anonymity and privacy leakages due to the interaction between the two layers is missing. We present (Please, find the full version of this paper with appendix at https://arxiv.org/abs/2007.00764.) clustering heuristics that group BTC addresses, based on their interaction with the LN, as well as LN nodes, based on shared naming and hosting information. We also present linking heuristics that link 45.97 % of all LN nodes to 29.61 % BTC addresses interacting with the LN. These links allow us to attribute information (e.g., aliases, IP addresses) to 21.19 % of the BTC addresses contributing to their deanonymization. Further, these deanonymization results suggest that the security and privacy of LN payments are weaker than commonly believed, with LN users being at the mercy of as few as five actors that control 36 nodes and over 33 % of the total capacity. Overall, this is the first paper to present a method for linking LN nodes with BTC addresses across layers and to discuss privacy and security implications. © 2021, International Financial Cryptography Association.;conference paper;scopus;Analysis;Security;LN
77;2021;10.1016/j.comnet.2021.108346;"Wei G.; Mao X.; Lu R.; Shao J.; Guan Y.; Lu G.";Achieve space-efficient key management in lightning network;The low transaction throughput, high transaction latency, and unfriendly micropayment are the main obstacles hindering Bitcoin use in time-sensitive environments. To mitigate these problems, various solutions have been proposed. The lightning network (LN) is considered one of the most promising ones, and it has been widely deployed in different versions. However, the LN itself is subject to a scalability problem due to the used channel state revocation technique. It especially requires O(n̄) storage cost to store the private keys, where n̄ is the number of transactions that happened in the channel and expected to be infinite. Though there are some techniques to resolve this problem, none of them is compatible with the current Bitcoin system. Aiming at solving this dilemma, in this paper, we propose two space-efficient Bitcoin-compatible key management schemes for the LN, based on the hash function and trapdoor one-way function, respectively. Both schemes reduce the storage complexity from O(n̄) to O(1). The detailed security analysis shows that our schemes hold the security level of the original LN or its variants. The extensive experimental results demonstrate that our proposed schemes are efficient and feasible, with a significant reduction in storage overhead. © 2021;article;scopus;New Protocol;Security;LN
78;2021;10.1109/EuroSPW54576.2021.00046;"Weintraub B.; Nita-Rotaru C.";Structural Attacks on Local Routing in Payment Channel Networks;"Payment channel networks (PCN) enable scalable blockchain transactions without fundamentally changing the underlying distributed ledger algorithm. However, routing a payment via multiple channels in a PCN requires locking collateral for potentially long periods of time. Adversaries can abuse this mechanism to conduct denial-of-service attacks. Previous work focused on source routing, which is unlikely to remain a viable routing approach as these networks grow. In this work, we examine the effectiveness of attacks in PCNs that use routing algorithms based on local knowledge, where compromised intermediate nodes can delay or drop transactions to create denial-of-service. We focus on SpeedyMurmurs as a representative of such protocols. We identify two attacker node selection strategies; one based on the position in the routing tree, and the other on between-ness centrality. Our simulation-driven study shows that while they are both effective, the centrality-based attack approaches near-optimal effectiveness. We also show that the attacks are ineffective in less centralized networks and discuss incentives for the participants in PCNs to create less centralized topologies through the payment channels they establish among themselves. © 2021 IEEE.";conference paper;scopus;Analysis;Security;LN
